Type,Target,Label,Name,Anmerkung KHM
Property,http://arkumu.org/properties/bevorzugter-untertitel,Bevorzugter Untertitel,Untertitel,
Property,http://arkumu.org/properties/beziehung,Beziehung,,
Property,http://arkumu.org/properties/bildbeschreibung-deutsch,Bildbeschreibung Deutsch,,
Property,http://arkumu.org/properties/bildbeschreibung-englisch,Bildbeschreibung Englisch,,
Property,http://arkumu.org/properties/dateiabfragedokument,Dateiabfragedokument,,
Property,http://arkumu.org/properties/dateiname,Dateiname,"Dateipfad kurz,Dateiname_Kurz,Dateiname_arkumu_web",
Property,http://arkumu.org/properties/dateipaket,Dateipaket,,
Property,http://arkumu.org/properties/dateipfad,Dateipfad,"Dateipfad_absolut,Dateipfad_DCP_Ordner",
Property,http://arkumu.org/properties/datensatz-id-beim-einlieferer,Datensatz Id Beim Einlieferer,"UUID,PE_ID,PE_UUID,Projekt_ID,Projekt_UUID,AS_ID,Kreuz_Lehrende_Proj_ID_pk,Auszeichnungen_Projekte_Ausz_ID,Kreuz_Projekte_Keywords_ID,Keyword_ID,Kreuz_PhysMedien_Proj_ID_pk,PhysMedien_ID,ID,DAT_ID,TR_ID,TR_UUID,Kr_Einlad_ID,Event_ID,Kreuz_Projekte_Equipment_ID,Equipment_ID,Equipmentart_ID,Projekte_Projekt_ID,_arkumu_preview_UUID,Projekte_Projekt_UUID,_arkumu_preview_UUID",
Property,http://arkumu.org/properties/datensatzerstellung-beim-einlieferer,Datensatzerstellung Beim Einlieferer,"SQL_Pr_ErstellungsTS,__SQL_TS_Created,Auszeichnungen_Projekte___SQL_TS_Created,SQL_ErstellungsTS,Projekte_SQL_Pr_ErstellungsTS",
Property,http://arkumu.org/properties/dcp-art,Dcp Art,,
Property,http://arkumu.org/properties/defines-entity-type,Defines Entity Type,,
Property,http://arkumu.org/properties/defines-property,Defines Property,,
Property,http://arkumu.org/properties/derivatkopie-nummer,Derivatkopie Nummer,,
Property,http://arkumu.org/properties/deutsche-beschreibung,Deutsche Beschreibung,"_Beschreibung_verkettet,_EreignisHerstellungBeschreibung_verkettet,_Beschreibung_verkettet,Beschreibung_DE,Projekte_Material_Beschreibung_calc,Media_Dateipfad kurz.Beschreibung_DE,__TC_Info_aus_Kreuztabelle",
Property,http://arkumu.org/properties/deutsche-bezeichnung,Deutsche Bezeichnung,,
Property,http://arkumu.org/properties/deutsche-bezeichnung-des-lizenzvertrags,Deutsche Bezeichnung Des Lizenzvertrags,,
Property,http://arkumu.org/properties/deutsche-inhaltliche-beschreibung,Deutsche Inhaltliche Beschreibung,"Description_DE_verkettet,Projekte_Material_Titel_calc",wird bei RB nur für d.o. benutzt
Property,http://arkumu.org/properties/deutsche-kurzbiografie,Deutsche Kurzbiografie,,
Property,http://arkumu.org/properties/deutsche-produkt-bezeichnung,Deutsche Produkt Bezeichnung,Equipment_deu,
Property,http://arkumu.org/properties/deutscher-anzeigetext,Deutscher Anzeigetext,,
Property,http://arkumu.org/properties/deutscher-kommentar,Deutscher Kommentar,,
Property,http://arkumu.org/properties/deutscher-name,Deutscher Name,Name_gesamt_natürlicheReihenfolge_calc_export,
Property,http://arkumu.org/properties/deutscher-name-der-einliefernden-hochschule,Deutscher Name Der Einliefernden Hochschule,,
Property,http://arkumu.org/properties/deutscher-name-der-equipmentart,Deutscher Name Der Equipmentart,Equipmentart_deu,
Property,http://arkumu.org/properties/deutscher-name-der-ereigniseigenschaft,Deutscher Name Der Ereigniseigenschaft,,
Property,http://arkumu.org/properties/deutscher-name-der-informationstraegereigenschaft,Deutscher Name Der Informationstraegereigenschaft,,
Property,http://arkumu.org/properties/deutscher-name-der-lizenz,Deutscher Name Der Lizenz,,
Property,http://arkumu.org/properties/deutscher-name-der-nummernart,Deutscher Name Der Nummernart,,
Property,http://arkumu.org/properties/deutscher-name-der-organisationseinheit-breadcrumb,Deutscher Name Der Organisationseinheit Breadcrumb,,
Property,http://arkumu.org/properties/deutscher-name-der-projektart,Deutscher Name Der Projektart,Projektart_calc,
Property,http://arkumu.org/properties/deutscher-name-der-projekteigenschaft,Deutscher Name Der Projekteigenschaft,,
Property,http://arkumu.org/properties/deutscher-name-der-projektkategorie-breadcrumb,Deutscher Name Der Projektkategorie Breadcrumb,,
Property,http://arkumu.org/properties/deutscher-name-der-rolle-breadcrumb,Deutscher Name Der Rolle Breadcrumb,,
Property,http://arkumu.org/properties/deutscher-name-der-sammlung,Deutscher Name Der Sammlung,,
Property,http://arkumu.org/properties/deutscher-name-der-sprache,Deutscher Name Der Sprache,,
Property,http://arkumu.org/properties/deutscher-name-des-ereignistyps,Deutscher Name Des Ereignistyps,,
