Type,Target,Label,Name,Anmerkung HMT
Property,http://arkumu.org/data/properties/dateiname,Dateiname,Digitales Objekt_Dateiname,
Property,http://arkumu.org/data/properties/dateipaket,Dateipaket,,
Property,http://arkumu.org/data/properties/dateipfad,Dateipfad,Dateipfad_absolut,
Property,http://arkumu.org/data/properties/datensatz-id-beim-einlieferer,Datensatz Id Beim Einlieferer,"Kreuz_Projekt_Ereignis_ID_pk,Kreuz_Ereignis_Akteurin_ID_pk,Kreuz_Ereignis_Koerperschaft_ID_pk,Kreuz_Ereignis_DigitalesObjekt_ID_pk,DigitalesObjekt_ID_pk,Informationstraeger_ID_pk,Kreuz_Projekt_Oberwerk_ID_pk,UUID",
Property,http://arkumu.org/data/properties/datensatzerstellung-beim-einlieferer,Datensatzerstellung Beim Einlieferer,__SQL_TS_Created,
Property,http://arkumu.org/data/properties/dcp-art,Dcp Art,,
Property,http://arkumu.org/data/properties/defines-entity-type,Defines Entity Type,,
Property,http://arkumu.org/data/properties/defines-property,Defines Property,,
Property,http://arkumu.org/data/properties/derivatkopie-nummer,Derivatkopie Nummer,,
Property,http://arkumu.org/data/properties/deutsche-beschreibung,Deutsche Beschreibung,"EreignisBeschreibung,Informationsträger_Beschreibung",
Property,http://arkumu.org/data/properties/deutsche-bezeichnung,Deutsche Bezeichnung,,
Property,http://arkumu.org/data/properties/deutsche-bezeichnung-des-lizenzvertrags,Deutsche Bezeichnung Des Lizenzvertrags,,
Property,http://arkumu.org/data/properties/deutsche-inhaltliche-beschreibung,Deutsche Inhaltliche Beschreibung,,
Property,http://arkumu.org/data/properties/deutsche-kurzbiografie,Deutsche Kurzbiografie,,
Property,http://arkumu.org/data/properties/deutsche-produkt-bezeichnung,Deutsche Produkt Bezeichnung,,
Property,http://arkumu.org/data/properties/deutscher-anzeigetext,Deutscher Anzeigetext,,
Property,http://arkumu.org/data/properties/deutscher-kommentar,Deutscher Kommentar,"Digitales Objekt_Kommentar,Informationsträger_Deutscher_Kommentar",
Property,http://arkumu.org/data/properties/deutscher-name,Deutscher Name,"Akteurin_Name,Koerperschaft_Name",
Property,http://arkumu.org/data/properties/deutscher-name-der-einliefernden-hochschule,Deutscher Name Der Einliefernden Hochschule,,
Property,http://arkumu.org/data/properties/deutscher-name-der-equipmentart,Deutscher Name Der Equipmentart,,
